epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
75,5899.02,0.91989,1.19134,0.66482,0.00402,0.22632,0.85666,0.80458,0.86463,0.71838,0.85167,0.781,0.84019,0.59091,0.86792,1.21437,0.78331,0.00565,0,0.000116133,0.000116133,0.000116133
76,5977.17,0.91101,1.18012,0.65362,0.00403,0.22284,0.85966,0.80467,0.86513,0.71905,0.85783,0.781,0.84081,0.59513,0.86401,1.20988,0.79034,0.00557,0,0.000114635,0.000114635,0.000114635
77,6054.96,0.91534,1.18755,0.65786,0.00401,0.22044,0.8565,0.80397,0.86549,0.72024,0.85549,0.78045,0.84261,0.59602,0.86517,1.21344,0.78203,0.0056,0,0.000113137,0.000113137,0.000113137
78,6132.53,0.91365,1.18709,0.65528,0.00401,0.2218,0.84572,0.80734,0.86377,0.72106,0.84713,0.77963,0.84098,0.59314,0.86195,1.2112,0.78737,0.00559,0,0.000111639,0.000111639,0.000111639
79,6209.66,0.90867,1.17932,0.65083,0.00399,0.22158,0.85582,0.80069,0.86531,0.71959,0.85766,0.77421,0.84167,0.59367,0.86578,1.21444,0.7922,0.00559,0,0.00011014,0.00011014,0.00011014
80,6287.5,0.89821,1.163,0.64586,0.00397,0.21678,0.86533,0.80248,0.86554,0.72184,0.85183,0.78459,0.8409,0.59337,0.86195,1.22114,0.7885,0.00556,0,0.000108642,0.000108642,0.000108642
81,6365.14,0.90216,1.16066,0.64222,0.00397,0.21742,0.86402,0.80202,0.8651,0.72174,0.85579,0.78461,0.84304,0.60183,0.8593,1.21502,0.80205,0.00562,0,0.000107144,0.000107144,0.000107144
82,6443.24,0.90251,1.17104,0.64244,0.00393,0.21917,0.86362,0.80836,0.86666,0.72331,0.84868,0.79156,0.84314,0.59669,0.86232,1.2119,0.79268,0.00556,0,0.000105646,0.000105646,0.000105646
83,6521.37,0.90865,1.16417,0.63895,0.00392,0.21717,0.86724,0.80108,0.86647,0.72352,0.86152,0.78135,0.84366,0.59384,0.85868,1.21348,0.79052,0.00552,0,0.000104148,0.000104148,0.000104148
84,6598.74,0.89655,1.15539,0.63368,0.00391,0.21183,0.86198,0.80774,0.86556,0.72218,0.85064,0.78756,0.84065,0.5954,0.85944,1.22363,0.80493,0.00555,0,0.000102649,0.000102649,0.000102649
